

('SWEEP', '10', '10', '1', '00000408')
('115200', '1', '1', '00', '5050')
05
01
(65, 44)
(19, [107, 183.9375])
(20, [95, 186.875])
(21, [97, 189.5625])
(22, [96, 192.0])
(23, [92, 195.0])
(24, [88, 199.1875])
(25, [79, 201.875])
(26, [73, 204.6875])
(27, [73, 207.75])
(28, [66, 210.9375])
(29, [60, 213.75])
(30, [64, 216.625])
(31, [63, 219.25])
(32, [63, 221.6875])
(33, [96, 224.625])
(34, [97, 227.5625])
(35, [1, 240.4375])
(36, [201, 243.125])
(37, [171, 245.875])
(38, [169, 248.375])
(39, [180, 251.125])
(40, [183, 253.625])
(41, [210, 256.375])
(42, [327, 259.375])
(43, [317, 262.25])
(44, [309, 265.375])
(45, [309, 268.25])
(46, [303, 271.375])
(47, [323, 274.3125])
(48, [291, 277.375])
(49, [281, 280.5])
(50, [276, 283.0625])
(51, [273, 286.0])
(52, [287, 289.1875])
(53, [276, 292.25])
(54, [282, 295.625])
(55, [247, 305.25])
(56, [315, 308.625])
(57, [343, 318.1875])
(58, [431, 327.0625])
(59, [448, 330.125])
(60, [329, 333.1875])
(61, [319, 336.25])
(62, [310, 339.375])
(63, [303, 342.0625])
(64, [293, 345.125])
(65, [248, 347.6875])
(66, [244, 350.25])
(67, [272, 353.0])
(68, [227, 356.375])
(69, [149, 359.4375])
(70, [156, 2.375])
(71, [178, 5.0625])
(72, [173, 8.0])
(73, [14, 20.9375])
(74, [25, 32.0])
(75, [22, 35.125])
(76, [25, 38.5])
(77, [35, 41.5625])
(78, [25, 44.8125])
(79, [32, 47.5625])
(80, [39, 51.125])


(85, 82)
(0, [182, 7.125])
(1, [50, 19.9375])
(2, [32, 31.1875])
(3, [17, 34.25])
(4, [27, 37.6875])
(5, [28, 41.25])
(6, [40, 44.3125])
(7, [34, 47.1875])
(8, [38, 50.25])
(9, [30, 63.0625])
(10, [42, 75.6875])
(11, [24, 78.25])
(12, [9, 90.875])
(13, [14, 103.8125])
(14, [10, 113.1875])
(15, [10, 116.75])
(16, [5, 129.0625])
(17, [37, 141.9375])
(18, [59, 145.0625])
(19, [76, 147.9375])
(20, [86, 150.5625])
(21, [91, 153.3125])
(22, [104, 155.875])
(23, [107, 158.9375])
(24, [140, 168.5625])
(25, [121, 171.1875])
(26, [125, 173.75])
(27, [117, 176.3125])
(28, [113, 178.3125])
(29, [119, 180.75])
(30, [109, 183.25])
(31, [97, 185.875])
(32, [97, 188.875])
(33, [101, 191.375])
(34, [95, 194.0])
(35, [89, 198.3125])
(36, [83, 201.5])
(37, [77, 204.6875])
(38, [75, 207.5625])
(39, [63, 210.75])
(40, [63, 213.5625])
(41, [63, 216.25])
